log_X,log_y
0.4977287,-0.909891
0.95613503,1.4506822
-1.4370911,-0.015596062
-0.42415157,-1.1114501
1.7246789,1.2114484
0.5787715,0.104628086
1.3959959,0.48424706
0.45727512,-0.54442054
0.84773624,2.932234
-1.4720681,1.6079922
-1.8358735,1.099409
2.8902218,2.539105
0.78264546,0.21720582
-0.44864914,1.1781032
-2.2833202,-1.1402907
-1.501045,-0.14306268
-0.49853116,0.24133602
1.3115302,0.1401484
1.9837416,-0.24084437
0.6052371,2.3046808
-0.36817965,1.0488193
1.655641,0.69235885
2.689164,1.4033401
-0.46814817,0.31403556
1.4691666,1.8028799
-2.5455518,-0.32517588
2.8467195,-0.26820135
1.058031,1.5651562
0.38558564,1.5086428
-1.570762,0.19581202
0.57104784,0.13872212
2.6742263,0.20220757
-0.04944453,-0.16675174
1.398731,-0.8628069
-2.9635305,-0.23420152
-2.7617059,-0.014734969
-0.29886705,0.7382291
1.7202184,-0.823197
1.002898,0.48068848
-1.6376188,0.6210487
-2.2501473,-0.06359699
2.8921168,0.22392201
2.224037,2.1423392
2.9663322,2.494444
-0.8480459,1.1609893
-2.7800333,-1.2266424
-2.0783749,-1.6351609
2.182858,0.0733428
1.2190839,1.945771
-2.3291905,-1.23302
0.74619764,1.2604479
1.5900749,1.4630542
-1.4672523,-0.07225987
-2.8718035,-0.010305747
2.4094434,-0.0705297
1.5231634,0.054314196
0.37909314,0.40498325
-0.4886435,-1.1159326
1.643461,-0.94742036
0.23411644,2.176279
0.6576374,0.5777998
1.8058206,1.3878409
-0.25652286,0.70634717
2.6278512,1.2939285
2.5979738,1.4924539
-1.66136,1.2037947
2.1685164,-0.0021145344
-2.1505835,0.034430757
-1.0546819,-0.86967367
-2.9952898,1.5256689
-1.0994979,1.37216
-0.15953965,-0.8213599
-1.8588057,0.46284336
-1.2669437,0.3541478
1.1723652,-0.16345376
-2.3121598,-0.330383
-2.7890399,0.7698788
-0.50172544,1.066919
1.3770363,1.9236295
0.48351234,0.62766695
-0.16270514,-0.19067144
1.8774711,2.8826232
2.535124,0.5405116
1.3163154,0.9908172
-2.6498954,1.7223905
-2.872148,-1.2040402
1.2054312,0.6646503
-2.2752128,0.25563362
0.97693413,1.8316355
0.7126988,1.5933374
-0.46491686,-0.3208872
-0.3232085,1.0250523
-0.23423319,0.48379147
-1.212674,-0.19296342
-0.288813,0.99616146
-1.4723,0.40053213
-2.083083,1.003512
1.5779926,-0.2594596
2.164749,-0.42235303
-0.8614905,1.0328543
-0.20624414,0.3681153
1.809635,2.475979
-1.6592346,0.2320708
1.4432399,2.1999016
0.9164841,0.12541789
1.3171654,-0.4146247
-2.272998,-1.1702577
-2.268424,0.41853678
-0.8870958,0.18398246
1.717282,0.3334819
-2.8863351,-1.0086045
-1.076131,0.14676535
1.7620422,1.0705364
-0.11863536,1.5782919
-1.048479,-1.2127709
-2.3659024,1.339905
0.76691955,0.16501719
0.9862577,0.8449295
0.888316,-0.66074765
2.6215558,0.87164515
2.9706264,0.6566001
2.2691176,3.7945333
0.8492754,0.6753481
-1.1146176,-0.25429797
2.179914,0.30801785
0.13619252,1.6016663
-2.4374647,-0.9019275
2.4926472,0.5484977
-2.9240928,0.15300739
0.10000142,0.7252722
-1.9713784,-0.99820554
2.8994155,0.27214253
0.47440833,-0.24170029
1.1761913,-0.011074066
1.8151232,0.45554376
-0.051132232,1.7604983
1.0024198,-0.36640984
-1.52496,1.0810866
2.1932697,1.2620106
-1.2057226,0.34702006
-0.009795666,0.19907391
0.641777,1.8257893
0.3476757,0.41557378
-1.9780488,-1.004582
0.6508572,-0.8566414
-0.2957454,0.6881416
-1.4071196,-0.24900198
-2.1414635,0.6359787
-0.18300976,1.3105273
-1.0831219,-0.8506762
0.41523886,-0.7122606
-0.114907704,0.8684737
1.970395,0.67770904
0.8711986,-0.2497065
-2.5370426,0.37140593
0.11405008,-2.4938107
2.1140885,0.07926333
-1.0275855,-1.0644655
2.2318294,1.6151583
-1.3835523,-1.5227675
-1.9155699,-0.16260609
-0.41685647,-1.0099833
-0.66461444,0.5603156
-0.36087856,-0.18022412
-0.48564696,-0.11343986
0.68426305,0.38652083
2.7495036,1.568575
0.11451831,1.7765853
2.9963167,2.5967424
2.1075299,0.8735468
0.94335085,0.55802894
2.2078924,-0.051849008
-1.4332725,1.0691394
0.4517327,-0.56193334
-2.8355675,0.34778336
-0.12858379,0.110967994
-0.35899204,0.5591488
-2.3278334,-1.5081866
-1.841007,0.21554774
2.3803008,0.730909
-0.9746907,0.5815425
2.2783046,0.92610425
-1.8928024,-0.04293996
2.101252,2.0275269
0.7853756,-0.66545385
-1.1005468,-0.2950643
0.72650033,-0.055560887
-2.9526477,0.70921606
0.31559277,0.55790627
0.64206225,0.40101194
-1.7822667,-0.96672076
1.9856304,1.4277437
1.6346576,0.94502604
-0.11886629,-1.4939511
-1.147321,0.6659715
-2.7447395,-0.5101169
-0.39956132,1.0378144
-0.31952786,1.7352289
-2.7062387,-1.481924
-2.559285,-0.5323917
