log_X,log_y
-0.23307367,-0.44711834
1.5664771,1.0893123
1.3843528,3.2252846
-0.49314037,0.12853539
-1.7499272,1.0016629
0.7360177,1.1319847
2.9317834,0.88249594
-0.56161636,0.24027961
-0.2659275,1.0305914
-0.9913489,-1.3436818
-1.8760096,1.5031133
-1.9715371,0.6788239
-2.7015119,0.9486288
-2.8443813,-1.121915
0.77919716,0.48556113
0.47795102,-0.63949704
1.7598299,2.5882416
-2.01685,-0.651121
-1.3409227,-0.8052958
0.78583777,0.18452394
-0.6165917,0.12733367
-2.8783944,1.8987341
2.8210282,0.52829957
1.8512306,1.8508632
0.97506714,0.2713052
2.0258615,-0.83326614
1.829825,-0.037110806
-2.5229838,-1.9330437
1.8632492,0.50961804
-0.55402315,0.3523873
-2.740394,-1.3780043
-0.5018311,-0.43011522
1.0552317,1.8704147
0.771422,-0.29312152
2.3995626,1.6171314
2.3005044,1.4498967
2.135313,0.59637564
-2.4970942,1.1053878
-2.914675,-0.304144
1.6505095,-0.24843252
-0.9150404,0.36412317
0.75446606,2.0651588
0.2526078,0.0030943155
1.4712758,0.64152765
1.8863186,0.6133224
1.635008,0.3052736
1.9967278,2.1862354
1.813821,1.2072732
1.6743419,1.1413577
-0.17660189,0.2620201
-0.73561805,2.0827372
2.2985153,0.4757421
0.28026927,1.0161653
2.4235675,1.9499335
1.4582636,-0.8666478
-0.21830754,-1.6070352
0.47193563,-0.27013034
2.9861653,1.0413514
-1.2325753,1.7447554
-0.446229,0.29282457
-2.6077535,1.2335923
-1.6397376,-1.4501594
-0.4149967,-0.65604055
-1.6296853,0.5356318
0.26637083,1.5899413
-0.38166577,1.5668688
0.9417502,1.3579503
0.5891386,1.4718499
-0.5340925,1.4304609
0.9458188,-1.1709402
0.58818436,0.15405083
0.19110389,-0.15820813
-1.0711275,-0.3519504
-0.19700675,0.82419443
1.857564,2.5825977
-2.957162,0.62405616
2.8606083,1.8917427
-2.7647324,-0.6663781
2.5778568,1.621058
-1.9195819,2.32361
2.0679982,1.6274068
0.18656617,1.7165041
-0.21448551,1.3029497
1.5090166,-0.26448762
1.0249647,0.54001045
-0.9511434,0.6958864
-1.2924176,0.29798144
-2.290153,-0.41912457
0.75985616,0.8059805
2.6581156,-1.4658835
2.411286,2.8337088
-1.7254871,0.3624174
1.534711,0.48835647
2.6496532,1.725915
2.3821955,3.1020908
0.7470438,1.2706616
-0.34147993,0.8369951
-0.0705122,0.09535885
-2.7705705,-0.52924913
-0.70478666,-0.24532717
2.5156884,0.42202193
-2.152085,1.7053965
1.3583323,0.5343361
2.1702194,0.605407
-1.4515666,1.1721745
-1.654698,2.060359
1.2452965,1.335345
-0.10933678,-0.8042423
-1.8652276,1.2013348
0.48825416,1.7019238
1.2870641,0.74416
-2.497756,0.6809951
2.2551217,2.1548903
-0.24949886,0.58040273
-0.39238587,1.1096579
-2.7590632,0.34087422
1.8451468,3.101192
1.0888394,0.98360264
2.9227977,0.51731324
0.8418212,2.689618
0.7300006,0.6273117
-2.750912,-1.048069
-1.4702004,1.0570843
0.15066865,-0.2270652
-2.3193805,0.69272363
-0.36698228,-0.44279897
-2.6605558,-0.5245695
0.8919828,0.6368942
-2.6635132,-0.523982
0.55403084,-0.03816378
-0.15114392,0.40637627
1.3737158,1.3684802
-2.0577927,0.6518632
2.9456244,2.3759227
-2.7308872,0.81451595
-0.94144034,0.9367045
1.9285959,1.0876027
1.7807899,2.5498028
-1.0252527,1.58835
1.8276954,1.4386984
-0.27535403,0.07912111
0.5224838,1.1487741
-2.203626,0.50550866
1.6371176,1.0211519
-1.9844159,-0.7357175
-2.7478886,-2.095553
0.8956918,0.5543536
-2.3394384,0.4846341
1.3591528,-0.21765494
-2.3120246,0.9509659
0.3120211,1.1438801
-2.2428312,-0.8815487
2.9960175,1.7910845
2.1534545,2.1174972
1.5467914,-0.030998826
0.42638764,0.6965538
-0.96309596,-1.0050341
-1.7447125,0.6232742
-2.2588427,0.81369126
-1.0275099,0.44015098
-1.7676245,0.36644346
0.63119316,0.6884364
-1.9694372,-0.29159057
-0.12146344,1.0547869
2.6855083,2.3618813
1.4482559,1.3331062
-2.5401185,-0.22445068
2.840149,0.40808004
0.63873696,1.6529586
1.6338899,1.3522074
2.1242023,0.09267986
-0.6796144,1.041013
-1.2978299,0.024645478
-2.0703182,0.7884828
0.44019,0.8023763
0.33671996,-0.27175528
2.5354292,2.224069
0.8067499,0.4332252
0.8918427,1.3381312
-1.5114456,0.59799755
-2.176819,0.71906483
-2.7684622,0.743443
-2.1155908,0.7581949
0.7422112,-0.7131243
-1.927768,1.7804812
-0.38408566,1.8722245
-2.4605882,0.56156886
-2.2253695,-0.77287465
-0.93955576,0.6714099
-2.2675602,-0.53878856
-0.3856518,1.641612
-0.4045247,-0.06692922
-2.1419804,0.17050755
2.812489,0.89441526
-1.7934463,-0.16444534
-1.1023283,0.8546703
2.168697,1.2838076
0.48326176,-0.13908964
1.3113077,0.38271165
0.30490893,0.8513852
